locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSMUSG00000037608,Bclaf1,1,349,E,Essential
ENSMUSG00000037610,Kcnmb2,1,349,NE,Nonessential
ENSMUSG00000037621,Atoh8,1,349,E,Essential
ENSMUSG00000037622,Wdtc1,1,349,E,Essential
ENSMUSG00000037624,Kcnk2,1,349,NE,Nonessential
ENSMUSG00000037625,Cldn11,1,349,E,Essential
ENSMUSG00000037640,Zfp60,1,349,E,Essential
ENSMUSG00000037643,Prkci,1,349,E,Essential
ENSMUSG00000037649,H2-DMa,1,349,E,Essential
ENSMUSG00000037656,Slc20a2,1,349,E,Essential
ENSMUSG00000037660,Gdf7,1,349,E,Essential
ENSMUSG00000037664,Cdkn1c,1,349,E,Essential
ENSMUSG00000037669,1110057K04Rik,1,349,NE,Nonessential
ENSMUSG00000037674,Rfx7,1,349,E,Essential
ENSMUSG00000037681,Esyt3,1,349,NE,Nonessential
ENSMUSG00000037685,Atp8a1,1,349,NE,Nonessential
ENSMUSG00000037697,Ddhd1,1,349,NE,Nonessential
ENSMUSG00000037705,Tecta,1,349,NE,Nonessential
ENSMUSG00000037706,Cd81,1,349,NE,Nonessential
ENSMUSG00000037710,Cisd1,1,349,NE,Nonessential
ENSMUSG00000037712,Fermt2,1,349,E,Essential
ENSMUSG00000037716,Ccdc33,1,349,NE,Nonessential
ENSMUSG00000037722,Gnpnat1,1,349,E,Essential
ENSMUSG00000037727,Avp,1,349,E,Essential
ENSMUSG00000037731,BC013712,1,349,NE,Nonessential
ENSMUSG00000037754,Ppp1r16b,1,349,NE,Nonessential
ENSMUSG00000037759,Ptger2,1,349,NE,Nonessential
ENSMUSG00000037771,Slc32a1,1,349,E,Essential
ENSMUSG00000037773,Fam113a,1,349,NE,Nonessential
ENSMUSG00000037780,Mbl1,1,349,NE,Nonessential
ENSMUSG00000037798,Mat1a,1,349,NE,Nonessential
ENSMUSG00000037815,Ctnna1,1,349,E,Essential
ENSMUSG00000037820,Tgm2,1,349,E,Essential
ENSMUSG00000037826,Ppm1k,1,349,E,Essential
ENSMUSG00000037845,Fdxacb1,1,349,NE,Nonessential
ENSMUSG00000037852,Cpe,1,349,E,Essential
ENSMUSG00000037855,Zfp365,1,349,NE,Nonessential
ENSMUSG00000037860,Aim2,1,349,NE,Nonessential
ENSMUSG00000037868,Egr2,1,349,E,Essential
ENSMUSG00000037872,Darc,1,349,NE,Nonessential
ENSMUSG00000037876,Jmjd1c,1,349,E,Essential
ENSMUSG00000037890,Wdr19,1,349,E,Essential
ENSMUSG00000037892,Pcdh18,1,349,NE,Nonessential
ENSMUSG00000037894,H2afz,1,349,E,Essential
ENSMUSG00000037896,Rcor1,1,349,E,Essential
ENSMUSG00000037902,Sirpa,1,349,NE,Nonessential
ENSMUSG00000037904,Ankrd9,1,349,NE,Nonessential
ENSMUSG00000037922,Bank1,1,349,NE,Nonessential
ENSMUSG00000037935,Smarce1,1,349,E,Essential
ENSMUSG00000037936,Scarb1,1,349,E,Essential
ENSMUSG00000037940,Inpp4b,1,349,NE,Nonessential
ENSMUSG00000037942,Crp,1,349,NE,Nonessential
